CO,C6H6,NMHC,Nox,NO2,O3,T,RH,AH
1.3,8.8,932,203,72,1034,21.5,67.5,1.708
2.7,16.6,1198,332,83,1235,21.9,64.8,1.683
3.6,24.3,1412,446,104,1455,22.6,61.4,1.6645
2,12.2,1058,273,91,1237,27,47.6,1.67
3.3,17.7,1230,404,103,1373,25.2,53.3,1.6834
2.9,16.7,1200,369,101,1413,26.9,50,1.7507
3,17.7,1230,362,102,1483,26.5,52.2,1.7769
3.2,20.9,1322,335,101,1539,27,51,1.7936
4.4,28.7,1520,447,118,1691,25.9,55.8,1.8347
6,34.8,1661,576,120,1846,25.1,59.4,1.8632
5,27.5,1492,486,107,1665,24.7,58.7,1.8001
4.3,24.2,1409,462,91,1603,22.4,67.1,1.794
4.2,22.2,1357,441,91,1530,21.6,69.2,1.763
2.2,13.2,1090,223,74,1205,21.3,68.5,1.7164
1.3,7.9,895,126,63,999,21.2,68.6,1.7046
1,6.5,834,185,55,911,19.8,69.2,1.5808
2.8,19.5,1282,425,78,1319,19.8,69.4,1.5859
4.1,28,1503,465,91,1927,20.4,66.7,1.5781
2.7,18.3,1248,316,83,1565,22.6,59.9,1.6246
2.1,14.3,1125,241,81,1462,24.5,54.5,1.6514
2.4,16.5,1194,266,83,1487,24.4,55.4,1.6712
3.7,22.3,1358,394,112,1603,26.8,49.1,1.7101
5.5,27.7,1496,548,137,1743,26.9,48.6,1.7017
5.4,29.8,1546,494,152,2007,26.2,48.9,1.634
8.4,40,1771,686,163,2235,24.3,54.3,1.6276
6.8,35.1,1666,556,135,1998,23.3,58.1,1.6457
4.5,25.5,1443,467,119,1795,22.3,62.5,1.6616
2.5,13.7,1107,297,91,1407,21.3,66.1,1.6556
1.6,9.7,965,164,74,1211,21.2,65.7,1.6319
1.7,9.8,970,196,73,1202,20.3,68.1,1.6009
1.7,10.1,983,201,71,1136,20.4,66.7,1.583
1,6,814,146,51,915,19.1,70,1.5331
0.7,4.6,742,127,43,842,18.1,72.1,1.4834
1.2,7.6,882,217,52,1002,18.1,72.3,1.4927
2.3,13.6,1104,394,65,1165,17.6,74.8,1.491
3,16,1179,511,69,1294,18.2,72.8,1.5048
3.3,18.9,1265,523,91,1475,20.2,65.8,1.5374
2.8,15.7,1171,471,92,1436,21.6,61.4,1.5696
3,16.2,1187,441,102,1465,23.3,57.5,1.6169
3.4,19.4,1279,414,118,1583,25,52.4,1.6356
3,16.9,1206,317,111,1432,25.4,50.8,1.6275
2.3,12.5,1067,230,101,1270,26.1,47.1,1.5724
3.1,15.8,1173,365,119,1354,27,44.2,1.549
3,16,1181,360,115,1318,27.2,43,1.5246
4,21,1324,475,115,1530,23.3,57.9,1.6376
4.1,17.7,1231,460,117,1415,21.6,67.7,1.7228
2.3,12.2,1055,255,96,1219,21,69.3,1.7058
2.6,14.6,1136,283,89,1307,20.3,70.5,1.6599
2.6,13.1,1088,271,84,1297,20,69.5,1.6109
2.9,15.5,1165,315,97,1321,19.7,70.1,1.5891
2.1,11.8,1042,227,68,1133,19.5,70.7,1.5851
2.1,10.9,1012,243,66,1124,19.4,71.4,1.5959
1.2,7.5,880,182,47,965,17.3,78.4,1.532
1.5,8.1,902,196,48,984,17.5,76.6,1.5174
0.9,4.8,755,108,45,880,20,66.7,1.5401
1.6,8.4,918,179,72,1023,24.6,50.4,1.5363
1.5,7.6,882,154,68,962,25,49.1,1.5295
1.1,5.9,807,95,52,825,25.3,46.7,1.4874
1.4,7.4,875,151,70,877,24.8,47.9,1.4819
2,10.1,983,230,90,1046,25.3,48,1.5249
2,9.7,965,239,87,1060,26.5,44.9,1.5278
2.5,11.8,1043,306,99,1155,25,50.1,1.563
5.2,24.3,1410,532,127,2185,21.7,62.9,1.6117
3.4,15.6,1168,375,99,1959,21.8,63,1.619
1.3,7.3,869,147,72,1375,21.2,63.4,1.5748
1.2,7.1,860,118,62,1212,20.2,65.8,1.535
1.7,9,938,181,62,1273,18.4,71.5,1.5038
1.7,8.9,936,209,63,1249,17.9,72.4,1.4758
1.4,7.2,864,167,56,1097,16.9,75.4,1.4393
0.9,4.4,735,112,44,933,16.5,75.5,1.4056
0.9,5.9,806,181,48,1013,16.2,76.9,1.4029
1.2,7.2,866,253,59,1087,15.8,79.6,1.417
3.2,18.5,1253,521,77,1566,16,76.3,1.3772
3.5,18.8,1262,516,111,1564,18.7,66.3,1.414
3.2,19.5,1283,487,114,1601,20.5,60.2,1.4346
4,24.8,1425,558,126,1732,21.4,59.4,1.4928
4.2,25.5,1441,605,119,1744,21.6,60.9,1.5551
8.4,44.5,1862,860,149,2106,21,64.9,1.5987
8,41,1793,820,136,2007,20,68.6,1.5882
6.4,32.5,1610,742,112,1791,19.3,71.4,1.5805
3.5,19.1,1273,492,87,1444,18.5,73.4,1.5461
3.5,19.6,1285,464,82,1373,17.7,75.6,1.5226
1.9,10.7,1005,258,67,1110,18.5,70.4,1.487
2.2,12.2,1056,311,68,1099,17,76.1,1.4582
1,5.5,788,127,48,847,15.5,78.5,1.3782
0.9,5.9,809,138,46,834,14.8,79.4,1.3312
1.4,8.6,923,228,54,956,15.7,77,1.3591
3.8,19.6,1285,545,95,1458,17.7,70.6,1.4202
4.4,26.7,1471,624,146,1750,22.6,54.5,1.4737
4,23.6,1393,546,157,1709,24.6,47.1,1.4378
4.5,26.4,1465,597,158,1786,24.9,48.3,1.4942
5.3,30.9,1573,688,175,1900,24.9,50,1.5522
5.8,32.8,1615,760,166,1963,24,55,1.6211
9.5,52.1,2007,952,180,2372,22.5,61.5,1.6579
6.2,36.6,1699,685,134,2062,22.2,61,1.6071
5,24,1404,561,127,1736,22.6,58.3,1.5829
2.1,9.8,972,239,95,1192,21,57.4,1.4098
1.4,7.9,895,175,79,1043,19.8,63.7,1.4524
1.6,7.5,878,169,78,948,17.7,78.8,1.5855
2,9.2,948,215,80,992,17.6,80.5,1.6062
1.2,5.7,799,115,67,867,17.4,81.3,1.6066
0.8,4.4,734,94,61,825,17.4,81,1.6012
0.7,5.1,767,132,56,866,16.8,81.3,1.5447
1.7,10.5,997,295,68,1113,17.6,78.8,1.5723
3.4,20.6,1313,517,101,1384,18,75.7,1.5527
4.9,28.5,1515,555,119,1516,18,74.8,1.5281
2.7,12.7,1075,429,108,1222,18.2,74,1.5343
3.2,16.1,1182,561,132,1354,19.7,65.4,1.4854
2.7,14.9,1144,427,130,1291,21,57.9,1.4267
3.2,16.8,1203,445,129,1308,20.7,58.6,1.4142
4.1,21.8,1345,538,117,1420,19.5,67.1,1.506
2.8,14.5,1131,370,113,1157,19.6,69.7,1.5675
2.1,13.4,1096,257,102,1130,19.9,65.3,1.5066
2.4,15.8,1173,266,101,1195,20,63.3,1.4622
2.6,16.6,1198,275,101,1228,19.3,67.5,1.4977
2.8,15.3,1157,338,94,1273,18.2,71.4,1.4776
1.4,8,898,176,75,1006,17.8,71.2,1.4396
1.1,5.8,803,159,69,898,17.6,69.9,1.3969
1.3,7,858,147,60,894,16,75.9,1.3721
0.9,4.4,734,109,45,770,14.8,78.7,1.3169
0.8,5.2,776,163,48,825,15.2,78,1.3382
1.6,10,977,326,61,1013,15.5,77.2,1.3502
3.4,20,1296,640,88,1341,15.7,76.4,1.3558
3.5,20,1296,667,97,1432,16.7,73.8,1.3886
3.4,20.6,1314,677,116,1499,18.6,66.3,1.4047
2.3,13.1,1088,349,101,1180,20.6,57.3,1.3792
2.6,14.5,1131,332,99,1196,21.6,53.6,1.3669
2.9,17.5,1224,412,113,1301,21.4,55.6,1.4015
4.4,25.9,1451,631,122,1646,20.7,63,1.5204
5,26.6,1470,677,139,1720,21.3,61.9,1.5463
6.5,35.3,1671,761,149,1852,20.8,64,1.5522
5.9,28.2,1508,650,136,1670,20.3,66.7,1.5656
2.7,14.2,1122,262,103,1208,19.7,64.5,1.4594
2.5,12.4,1065,292,112,1160,19.4,64,1.4282
1.5,6.6,839,177,88,937,20.1,60.8,1.4152
1,4.8,754,103,63,783,20.4,60.4,1.4263
1,4.3,727,119,65,729,19.9,64.9,1.4905
0.8,2.9,645,83,50,612,18.2,74.7,1.5441
0.6,2.5,621,65,43,574,18.4,73.8,1.5463
1.1,6.1,816,200,69,856,18.5,76.4,1.6112
1.3,7.7,889,242,91,976,19.3,71.6,1.5844
3,16.6,1197,429,119,1278,21.9,61.8,1.6021
1.4,8.4,917,169,77,934,23.5,57.7,1.6515
2.6,13.9,1113,419,101,1073,19.8,81,1.8538
5.5,26.1,1457,706,163,1393,19.7,82.2,1.8669
4.5,18.1,1244,592,144,1255,20.2,79.1,1.85
2.7,13.9,1113,305,118,1213,20.1,75.4,1.751
3.1,18.5,1253,371,135,1332,20.2,72.3,1.6893
4.2,20.9,1323,465,129,1430,20,73.3,1.693
3.1,12.9,1082,390,128,1102,18.3,74.9,1.5583
1.7,6.7,843,227,103,895,18.9,70.4,1.5259
1.8,7,856,284,116,905,17.3,76.3,1.4919
1.7,7.3,869,211,95,869,17.1,77.9,1.5081
2.1,9.1,944,297,107,982,17.3,79.3,1.5569
1.8,6.9,851,259,94,881,16.9,80.6,1.5372
1.5,6.5,833,214,84,868,16.9,81.4,1.551
1,5.4,783,192,76,825,16.7,79.7,1.503
1.4,7.8,891,237,82,901,16.8,79,1.4978
3.1,15.4,1160,455,102,1165,16.9,79.9,1.5253
3,14.4,1131,493,106,1201,17.4,79.3,1.5593
2.7,14.3,1126,482,108,1231,18,76.6,1.5706
4,20.3,1305,599,152,1461,21.2,64.4,1.6015
3.4,17.3,1218,406,133,1399,22.6,61.1,1.6596
3.2,16.4,1191,387,135,1395,23.5,58.3,1.664
3.7,18.7,1260,493,129,1425,22.3,64.3,1.7055
4.3,22.4,1362,532,117,1496,21.6,68,1.7305
4.9,25.3,1437,581,116,1551,21.2,67.4,1.6755
2.8,13.8,1110,392,96,1229,20.4,64.8,1.5379
2.4,10.2,984,311,90,1082,20.1,66.7,1.5548
2,7.9,895,270,86,939,19.3,70.4,1.5578
1.5,5.7,799,199,72,825,19.7,68.6,1.5563
1.3,6.4,828,146,61,811,19.7,68.2,1.5484
0.5,2.1,588,55,37,589,18.9,71.3,1.5449
0.4,1.2,519,43,31,540,18.1,79,1.6224
0.4,1.4,537,46,30,551,20.4,71.2,1.6834
0.9,4.6,743,139,41,742,20.6,70.7,1.6996
1.3,5.7,797,169,64,824,19.3,74.1,1.6391
2.1,10.6,1000,254,74,1059,22.2,64.4,1.7005
2,8.6,922,259,83,994,24.3,57.4,1.7233
1.8,8.8,932,226,71,1014,22,67,1.7441
1.6,11.6,1036,182,62,1023,23.2,63.9,1.7957
2.2,10.1,983,289,79,1033,23,62.3,1.7248
2.3,10.8,1006,340,93,1065,22.4,63.2,1.6878
6.6,30.3,1559,544,106,1516,21.7,66.6,1.7077
3.2,15.9,1176,318,69,2150,20.1,71.3,1.6564
3.7,17.8,1235,338,77,2519,20.1,71.1,1.6498
3.5,16.7,1201,353,68,1925,19.6,73.2,1.6543
2.7,15,1149,279,49,1599,18.4,78.1,1.637
1.3,7.8,890,180,51,1323,19.4,75.1,1.6766
1.5,8.7,928,213,51,1309,19.1,75.6,1.6519
1.9,9.8,970,266,62,1441,20.3,71.1,1.6803
2.2,12.4,1065,247,74,1830,23.1,61.3,1.7131
2.6,13.9,1114,326,88,1704,25.1,56,1.7565
2.7,12.5,1065,319,90,1576,25.8,56.1,1.841
1.5,6.5,834,174,64,991,23.1,70.8,1.98
2,9.4,954,216,72,1148,23.9,66.3,1.9361
4,19.8,1290,523,95,1420,21.8,72.7,1.8789
4.1,15.8,1174,465,91,1341,21.7,67.3,1.7256
3.1,14.5,1133,407,94,1258,21.3,66.3,1.6594
3.2,14.7,1138,412,86,1245,20.4,71.6,1.7004
3.2,15.3,1160,403,79,1231,19.6,75.3,1.6981
2.7,13,1084,357,71,1151,19.3,75.8,1.6762
0.6,2.7,636,96,35,721,17.6,73.2,1.4555
0.5,3,652,73,37,710,17.9,69.3,1.4099
1.5,8.7,927,309,56,951,16.1,76.3,1.3902
3.4,20.7,1317,607,85,1336,17.1,72.8,1.4054
4.4,25.2,1435,562,112,1489,20.8,57.9,1.407
4.4,23.6,1394,560,107,1558,20.6,60.2,1.4428
5.8,32.9,1617,844,151,1944,22.1,56.6,1.4851
4.9,25.6,1445,667,151,1782,24,50,1.4679
5.1,31.2,1578,583,150,1921,25.7,45.6,1.487
7.5,37.9,1727,726,190,2039,25.5,49.7,1.5985
5.8,32.3,1603,674,168,1912,25.2,50.6,1.5989
5.9,31.5,1586,544,127,1827,25.4,50.7,1.6187
6.8,38,1728,715,140,1919,24.4,56,1.6885
7.9,44.1,1853,789,158,2013,23,62.1,1.7283
9.2,48.2,1935,859,119,1927,20.9,67.5,1.6539
5.9,29.1,1529,668,96,1573,20.2,68.6,1.6034
3.7,19.1,1272,454,77,1325,19.3,70.8,1.5728
1.1,6.8,849,127,56,947,20.4,61.1,1.4495
2.2,10.7,1003,252,58,1045,17.5,73.2,1.4515
0.5,2.7,630,69,35,748,16.8,71.9,1.3628
0.7,4.3,727,151,50,833,16.9,70.5,1.3504
1.3,8,901,231,64,960,17,70.1,1.3512
3.7,23.8,1398,515,101,1444,20.3,58.4,1.3745
3.7,21,1323,499,94,1522,23.7,49.1,1.423
3.4,19.3,1278,445,95,1452,26.6,42.8,1.4713
3.4,19.7,1287,464,124,1437,26.2,43.5,1.4591
2.6,13.2,1090,298,86,1209,26.3,43.6,1.4663
2.5,12.9,1080,323,87,1190,26.3,43.7,1.4718
3.2,16.3,1188,372,107,1305,25.1,47.6,1.4983
3.7,20.5,1312,383,107,1364,23.8,51.4,1.4956
4.6,24.4,1414,455,117,1428,23.3,53.1,1.496
3.3,18.7,1261,355,97,1285,22.4,55.2,1.4735
2.4,12.7,1072,267,90,1143,21.7,57.7,1.4766
2.8,15.6,1168,308,86,1235,20.5,63,1.5043
2.7,14.2,1122,313,77,1208,19.5,67.6,1.5156
1.8,9.9,975,216,66,1041,18.7,69,1.4727
1.1,6.3,826,137,57,897,19.3,65.5,1.45
1.2,5.2,775,140,55,862,17.6,70.8,1.4105
0.6,2.9,644,94,40,747,17.8,68.1,1.3722
0.5,2.6,628,79,40,727,16.1,73.5,1.3329
0.7,4.7,750,156,46,799,15.8,73.5,1.3151
3.5,22.2,1357,464,84,1324,16,72.2,1.3077
3.6,23.3,1386,435,88,1404,17.8,65.4,1.3213
8.7,47.5,1920,1014,171,2204,23.1,61.1,1.7082
5.8,33,1619,633,124,1780,22.2,63.7,1.6865
4.3,27.2,1484,485,97,1590,21.1,66.1,1.6313
3.6,21.8,1345,480,92,1419,20,69,1.5956
3.9,21.3,1332,572,96,1415,19.1,72,1.5732
2.4,13.3,1094,345,74,1180,18.8,70.6,1.5209
1.6,8.8,931,195,65,1015,18.5,69.5,1.4657
0.5,2.8,639,73,41,723,16.5,71,1.3239
0.4,2.2,601,67,38,702,16.9,67.9,1.295
0.5,3.4,677,96,43,725,16.1,69.3,1.2591
0.8,5.7,800,162,52,836,16.1,69.6,1.2593
6.2,37.9,1727,725,118,1718,16.5,69.3,1.2897
4.5,25.5,1443,658,126,1646,19.6,58.3,1.3141
4.6,24.2,1408,710,151,1664,20.7,55.5,1.3414
3.3,20.9,1321,445,107,1496,20.8,56.3,1.3664
4.3,26.4,1463,527,138,1632,24.2,44,1.3078
5,29.8,1547,601,144,1736,24.7,43.6,1.3396
8.1,45,1871,1001,180,2165,23,54.2,1.5066
8,42.8,1829,852,154,2152,21.4,60.9,1.5322
3.6,22.4,1363,370,105,1556,20.3,61.4,1.4417
2.9,15.9,1177,348,98,1389,20,63.2,1.4581
1.3,7.6,881,162,69,982,17.8,66.9,1.3464
1.2,6.7,842,166,66,941,17.6,66.5,1.3249
1.9,9,940,255,73,985,15.5,73.3,1.2845
0.9,4.3,726,129,54,791,15.6,70.8,1.2461
0.6,3.7,694,114,45,743,14.9,72.3,1.2186
1.1,6.3,828,233,58,857,14,76.6,1.2183
2.8,14.5,1134,448,87,1143,14.6,74.2,1.2256
2.9,16.4,1191,455,97,1210,15.9,69.8,1.253
1.7,10.9,1012,254,80,1060,18.4,61.3,1.2854
2.3,14.1,1121,313,82,1252,20,56.7,1.3078
3.3,17.1,1214,490,112,1435,20.4,57,1.3507
3.5,19.4,1280,496,121,1544,20.7,59.3,1.4283
3.8,20.9,1321,514,132,1600,21.7,54.8,1.4024
3.4,17.7,1230,454,141,1534,22,54.2,1.4096
3.5,17,1211,404,101,1340,20.1,59.6,1.3852
2.8,14.6,1137,356,91,1231,20,58.4,1.3473
3.1,13.3,1094,395,90,1188,19.5,57.4,1.2874
1.6,7.9,895,197,73,944,18.8,59.1,1.2702
1.9,7.5,880,224,80,928,18,60.4,1.2331
2,8.4,917,231,87,1037,17.5,60.7,1.2009
1.4,6.9,853,177,79,930,17.5,59.4,1.1768
0.7,2.1,591,64,42,533,16.1,49.8,0.9021
0.4,1.5,542,44,31,449,15.5,51.5,0.9026
0.4,1.2,516,53,35,440,15.1,52,0.8878
0.7,1.9,580,100,58,465,15.5,42.4,0.74
0.7,2,583,98,57,457,16.6,38.2,0.7186
1,3.6,686,115,61,532,18,35.1,0.7176
1,3.7,695,76,34,526,17.6,33.8,0.6726
0.9,3.8,702,59,28,500,17.2,33.9,0.6591
0.9,3.4,675,95,50,482,16.8,32.1,0.6073
1.1,4,713,107,55,539,16,34.1,0.6155
3.2,14.3,1127,189,84,943,14.8,37.5,0.6259
3.1,10.5,995,386,140,1016,14.4,39.2,0.6407
3.1,12.2,1055,412,138,1063,14.1,43,0.6883
1.8,7.3,868,255,117,864,12.7,51.2,0.7505
0.8,2.4,613,89,57,500,9.9,71.4,0.8736
0.8,2.5,621,109,62,524,10.6,61.3,0.7856
0.7,1.7,561,67,42,457,11.1,55.6,0.7344
0.3,0.6,458,33,26,358,10.9,50.1,0.6519
0.7,2.1,593,146,72,494,10.8,49.7,0.6429
1.8,5.9,809,322,133,769,10.9,50,0.6531
1.3,6,810,220,100,631,13.4,36.3,0.5556
1.8,10,978,246,105,805,13.1,38.5,0.5776
1.7,7.8,890,272,121,808,11.5,46.4,0.6302
2.2,11.2,1023,358,132,964,13.1,40.4,0.606
5.9,31,1575,742,183,1571,11.3,50.9,0.679
0.2,0.5,445,32,29,373,8,64.5,0.695
0.2,0.5,443,29,26,363,8.1,68.6,0.7409
0.3,0.9,490,48,39,411,6.3,84.8,0.8148
0.5,1.6,555,113,72,496,6.7,79.8,0.7872
1.4,5.8,803,267,128,738,7.1,77.9,0.7914
1.6,6.7,843,354,165,821,6.9,86,0.8632
1.3,4.4,733,316,150,740,6.8,87.1,0.8652
1.9,7.8,893,391,175,895,9.5,70,0.8296
2.7,10.8,1007,457,145,1019,10.5,62.2,0.7923
2.4,11.3,1024,543,105,1043,11.1,58.6,0.7737
2.7,12.3,1061,574,106,1111,10.8,57.6,0.7473
2.5,12.6,1070,435,141,1087,10.6,56.9,0.7281
3.7,17,1209,504,177,1250,10.6,59.3,0.7588
3.9,15.3,1159,580,193,1243,10.3,71.1,0.8878
2.2,9.9,973,346,148,1074,10.5,70.3,0.893
2.6,11.2,1023,477,158,1189,9.7,73.1,0.8787
2.1,9.4,957,344,132,1092,9.3,73.5,0.8651
1.4,6.6,838,219,97,996,9.2,73.9,0.8616
1.1,5.4,784,174,74,902,7.6,81.2,0.8483
1.1,5.3,778,165,68,859,7.5,81.5,0.8495
1.1,6.1,814,250,89,970,8.3,77.2,0.8464
1.5,8.1,905,388,117,1062,8.9,75.6,0.8667
3.1,17.3,1218,758,190,1304,9.2,81.7,0.9506
5.4,24.1,1407,1110,190,1488,10.2,82.3,1.0253
4.5,21,1325,1145,194,1465,11.2,80.7,1.0688
3,12.7,1073,720,210,1198,11.8,76.1,1.0516
2.8,13.6,1105,557,199,1160,12.5,71.3,1.0285
3.9,18,1240,678,178,1277,13.2,68.4,1.0346
3.4,14.3,1125,659,184,1171,12.5,73.2,1.0563
3.2,13.7,1107,552,186,1106,12.2,75.7,1.0693
2.8,11.2,1021,395,168,1036,11.5,78.1,1.0565
3.9,16.5,1196,573,187,1196,11.6,76,1.0354
4.7,20.6,1312,568,177,1312,12.9,68.8,1.0175
4.6,16.8,1203,706,207,1251,13.1,69.6,1.0464
1.2,4.8,754,193,114,805,12.3,73.4,1.049
1.1,4,711,151,84,736,12.7,71,1.0387
1.2,4.5,740,167,92,774,12.9,69.9,1.0371
1.6,5.4,785,239,111,826,12.9,70.5,1.0442
0.7,2.4,610,102,71,636,13.1,67.7,1.0198
0.6,1.7,559,71,50,558,13.7,64.4,1.0036
0.5,1.7,560,79,53,565,13.9,63.8,1.0079
0.6,2.3,604,117,67,604,14.1,64.5,1.0287
1.4,5.7,798,266,113,794,14,66.1,1.0488
2,7.9,896,340,140,907,14.2,66.4,1.0673
1.6,6.4,831,257,116,838,14.9,62.5,1.0529
1.6,6.9,855,311,122,884,16.3,58.4,1.0729
1.7,6.7,843,279,116,866,16.9,56.5,1.0801
2,8.7,928,267,118,909,17.4,55.8,1.098
2.3,9.9,975,310,125,990,17.4,57.3,1.1328
2.4,11.4,1028,352,126,1050,17.7,55.5,1.1127
2.2,9.8,969,337,135,1023,16.8,58.9,1.1199
2.6,12.9,1079,358,140,1103,17,57.5,1.1071
4,16.6,1197,547,163,1239,16.2,60.2,1.1003
5.2,20.8,1319,600,178,1384,16.7,58,1.0916
3.9,18.8,1264,470,160,1289,16.5,58.8,1.0921
3.8,12.6,1070,522,166,1180,15.8,61.1,1.0856
1.6,5.9,807,208,115,855,15.7,60.8,1.0769
1.6,5,765,217,108,811,15.6,60,1.0594
1.5,4.9,758,216,111,794,15.6,60.1,1.0557
1,2.7,635,117,75,612,15.7,59.5,1.0534
1.3,5,765,174,88,807,15.6,61.7,1.0847
1,3.7,691,111,71,702,15.8,59.9,1.0693
1,3.8,702,147,75,753,15.2,61.8,1.0602
0.9,3.3,672,140,86,709,16.1,55.4,1.0089
2.1,9.7,967,421,124,1087,14.9,64.1,1.0773
3.1,14.7,1139,550,164,1386,17.9,54.6,1.11
3.8,17.6,1227,589,199,1476,21.1,44.5,1.0964
3.7,17.5,1224,537,192,1424,20.3,46.7,1.0971
3.6,14.1,1118,473,166,1310,21.5,42.7,1.0837
3.3,12.1,1053,364,133,1114,21.5,43.1,1.0919
2.3,10.6,998,368,133,1101,20.8,45.5,1.1054
2.1,9,941,318,128,1040,19.2,49.6,1.0893
1.9,7.5,878,244,116,856,18.3,51.6,1.0732
1.7,4.7,748,205,113,696,15.9,54.9,0.9853
0.8,1.8,570,95,59,524,14,55.2,0.8807
0.8,2.1,589,93,52,506,13.3,53,0.8044
0.8,1.8,568,100,57,453,11.9,55.5,0.7711
0.8,1.8,569,100,58,434,11.4,54.6,0.7363
0.6,1,500,63,44,373,10.4,53.7,0.6749
0.3,0.4,427,24,20,286,9.5,52.2,0.6198
0.2,0.2,402,20,17,268,10,45.7,0.5598
0.2,0.2,397,25,21,261,10.2,41.9,0.5209
0.3,0.4,429,57,39,291,10.7,36,0.4623
0.4,0.5,444,59,41,304,10.8,35.4,0.4583
0.4,0.6,455,65,44,301,11.4,32.9,0.4435
0.6,1.2,523,112,62,350,12.4,31.3,0.45
0.5,1.1,512,81,48,356,10.5,37.9,0.4821
1.4,4.7,750,148,78,556,7.3,63.5,0.6519
1.2,3,653,207,99,537,8.4,55.7,0.6155
1.1,3,652,210,106,554,9.1,49.6,0.5765
0.6,1.6,556,109,67,416,10.4,36.2,0.4561
0.8,2.3,607,128,73,433,11.3,32.3,0.4329
0.6,1.3,532,96,62,393,10.9,33.5,0.4378
0.5,1.1,507,65,44,353,10.6,34.9,0.4455
0.3,0.4,426,28,22,302,10.4,38.6,0.4862
0.4,0.8,478,55,41,348,10.4,37.4,0.4717
0.7,2,588,181,94,508,10.5,37,0.4707
2,8.7,928,480,167,936,10.7,37.9,0.487
2.4,8.6,923,442,162,944,11.1,38.1,0.5023
1.8,6.8,849,361,141,843,12.6,36.6,0.5314
1.6,6.2,820,288,127,820,13.8,36.2,0.569
1.7,6.4,831,330,116,793,13.4,37.1,0.5683
1.8,6.7,842,300,104,737,13.5,34.9,0.5393
1.7,6.2,821,239,111,718,13.7,32.2,0.5032
1.7,6.7,843,265,114,743,13.6,32.1,0.4977
1.7,7.8,891,287,121,848,13.5,31.8,0.4876
3.8,16.6,1198,446,175,1169,12.6,30.2,0.4384
4,16.3,1190,501,180,1167,12.3,32,0.4553
1.4,5.4,782,217,112,796,11.6,37.3,0.5095
1.3,3.9,705,167,91,701,11.3,41.8,0.561
1,2.8,641,126,76,591,11.2,42,0.5582
0.8,2.2,596,113,73,609,11,42.6,0.5595
0.4,0.7,472,37,32,391,11.1,40.8,0.5395
0.5,0.7,468,50,40,395,10.7,41.8,0.536
0.5,1.2,517,96,63,510,10.2,43.6,0.5405
0.9,3.3,669,271,119,779,10.1,44,0.5434
3.5,16.6,1197,892,202,1395,10.1,45.6,0.5632
5.2,26.3,1463,1071,222,1706,11.3,43.9,0.5867
4.3,16.4,1193,839,212,1479,14.5,33.8,0.5541
2.8,11.7,1039,457,161,1024,18.1,21,0.4321
2.2,10.9,1011,425,148,1010,17.9,22.3,0.4537
2.4,11.4,1029,483,148,1046,17.6,23.7,0.473
4.2,18.5,1255,648,206,1365,14.8,29.6,0.4965
3.1,14.5,1134,427,168,1281,13.6,34,0.5251
3.2,15.8,1175,461,171,1463,13.4,40.4,0.6178
2.8,13.2,1091,436,171,1388,11.8,44.3,0.6121
2.2,7.8,890,300,142,1195,10.7,47.5,0.6108
1.8,6.1,817,277,134,1111,10.2,49.4,0.6138
1.7,5,764,196,107,992,9.5,51,0.6045
1.6,5.3,778,277,121,1019,7.7,57.9,0.6107
0.7,1.2,522,97,68,699,6.2,61,0.5824
0.9,2,583,138,81,761,5.7,62.7,0.5801
3.3,15.4,1161,664,200,1318,6.3,61.7,0.5926
3.8,19,1267,611,201,1482,7.5,58.8,0.6117
3.2,14.4,1131,878,187,1592,13.3,42.3,0.6448
4.3,20.3,1306,808,212,1670,16.5,32.9,0.6127
4,19.5,1281,858,198,1650,17.4,32.7,0.6422
4.1,21,1325,839,171,1692,17.3,33.9,0.6627
7.8,35.9,1685,1290,272,2155,16,41.5,0.7483
10.2,47.7,1924,748,192,2452,13.7,52.8,0.8244
6.6,30.1,1553,1148,288,2032,13,55.1,0.824
4.3,22,1351,729,254,1751,12.4,56.8,0.8141
4.9,19,1268,810,267,1675,10.7,62.1,0.7972
2.3,7.1,860,274,145,1179,9.7,62.5,0.7509
2.7,8.2,908,387,167,1197,8.8,65.5,0.7435
2.2,5.1,771,235,127,995,8.8,63.8,0.7236
1.2,3.8,701,185,84,844,6.4,74,0.7134
1.1,3.6,687,212,89,813,5.9,76.6,0.7179
1.4,6.6,841,358,122,1005,6.1,76.7,0.7271
2.1,9.9,974,531,162,1170,6.8,74.5,0.7415
4.5,21.5,1339,992,225,1533,7.7,72.5,0.7666
5.6,27.8,1498,1132,249,1783,8.9,67.4,0.7714
5.6,22.9,1374,1195,282,1818,11.4,58.3,0.7868
4.7,20.2,1302,1120,278,1826,13.4,52.8,0.8086
4.2,19.7,1288,870,251,1839,15.8,50.1,0.892
3.6,13.8,1111,570,208,1428,18.3,50,1.0431
3.2,15.3,1157,384,187,1353,18.8,49.2,1.0548
3.1,15.9,1178,381,182,1491,18.4,49.6,1.0391
3.8,17.4,1223,541,212,1517,18.3,51,1.0586
3.9,17.6,1228,484,174,1413,17.6,53.1,1.0596
4.6,20.4,1307,549,220,1429,17.3,53.6,1.0472
4.9,22.6,1367,596,214,1503,16.8,55.2,1.048
4.3,17.2,1216,542,191,1687,16.3,58.1,1.0648
3.1,11.7,1040,381,160,1405,15.9,59,1.059
2.5,9.2,945,270,130,1199,15.9,59.4,1.0628
